"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Class"
"952",6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,"4"
"953",8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,"3"
"954",7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,"4"
"955",7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,"3"
"956",7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,"3"
"957",6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,"5"
"958",6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,"5"
"959",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,"4"
"960",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,"4"
"961",8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,"5"
"962",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,"4"
"963",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,"4"
"964",5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,"4"
"965",8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,"3"
"966",6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,"4"
"967",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,"4"
"968",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,"5"
"969",5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,"5"
"970",5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,"5"
"971",6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,"5"
"972",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,"4"
"973",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,"5"
"974",7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,"4"
"975",7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,"3"
"976",6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,"4"
"977",6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,"3"
"978",7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,"5"
"979",6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,"3"
"980",6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,"4"
"981",7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,"5"
"982",5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,"4"
"983",5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,"4"
"984",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,"3"
"985",6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,"4"
"986",7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,"4"
"987",7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,"4"
"988",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,"3"
"989",7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,"5"
"990",8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,"4"
"991",8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,"2"
"992",6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,"3"
"993",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,"2"
"994",8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,"4"
"995",7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,"4"
"996",6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,"3"
"997",6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,"4"
"998",8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,"4"
"999",7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,"5"
"1000",8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,"5"
"1001",6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,"3"
"1002",6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,"4"
"1003",6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,"5"
"1004",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,"4"
"1005",6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,"4"
"1006",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,"4"
"1007",5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,"3"
"1008",6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,"5"
"1009",8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,"4"
"1010",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,"4"
"1011",7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,"5"
"1012",8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,"4"
"1013",6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,"3"
"1014",6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,"3"
"1015",7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,"3"
"1016",6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,"3"
"1017",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,"4"
"1018",7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,"4"
"1019",8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,"4"
"1020",8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,"5"
"1021",8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,"5"
"1022",6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,"6"
"1023",7.6,0.19,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,10.5,"4"
"1024",6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,"4"
"1025",6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,"4"
"1026",6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,"4"
"1027",8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,"2"
"1028",7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,"5"
"1029",6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,"2"
"1030",7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,"4"
"1031",6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,"4"
"1032",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,"4"
"1033",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,"4"
"1034",7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,"1"
"1035",8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,"4"
"1036",7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,"3"
"1037",7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,"3"
"1038",7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,"5"
"1039",7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,"3"
"1040",8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,"2"
"1041",7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,"3"
"1042",7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,"2"
"1043",7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,"3"
"1044",7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,"5"
"1045",7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,"3"
"1046",6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,"3"
"1047",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,"3"
"1048",8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,"3"
"1049",6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,"4"
"1050",7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,"3"
"1051",6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,"4"
"1052",7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,"3"
"1053",9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,"2"
"1054",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,"3"
"1055",8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,"3"
"1056",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,"4"
"1057",7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,"3"
"1058",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,"4"
"1059",5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,"2"
"1060",8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,"5"
"1061",7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,"3"
"1062",6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,"3"
"1063",6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,"3"
"1064",8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,"4"
"1065",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,"3"
"1066",6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,"4"
"1067",7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,"5"
"1068",8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,"5"
"1069",6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,"4"
"1070",8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,"5"
"1071",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,"3"
"1072",8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,"5"
"1073",7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,"3"
"1074",6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,"4"
"1075",6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,"5"
"1076",7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,"4"
"1077",7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,"3"
"1078",6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,"3"
"1079",6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,"4"
"1080",6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,"5"
"1081",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,"4"
"1082",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,"4"
"1083",7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,"4"
"1084",6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,"5"
"1085",7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,"3"
"1086",5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,"6"
"1087",7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,"6"
"1088",7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,"4"
"1089",7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,"5"
"1090",8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,"4"
"1091",7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,"4"
"1092",7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,"4"
"1093",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,"5"
"1094",7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,"3"
"1095",5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,"6"
"1096",6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,"4"
"1097",6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,"5"
"1098",6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,"4"
"1099",5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,"5"
"1100",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,"4"
"1101",6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,"4"
"1102",6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,"3"
"1103",7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,"3"
"1104",7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,"3"
"1105",5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,"5"
"1106",5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,"6"
"1107",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,"5"
"1108",6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,"5"
"1109",9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,"2"
"1110",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,"5"
"1111",8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,"4"
"1112",6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,"4"
"1113",7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,"3"
"1114",6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,"2"
"1115",7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,"6"
"1116",5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,"3"
"1117",8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,"3"
"1118",5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,"3"
"1119",6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,"3"
"1120",6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,"4"
"1121",6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,"4"
"1122",6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,"5"
"1123",9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,"3"
"1124",9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,"3"
"1125",6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,"4"
"1126",6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,"5"
"1127",6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,"5"
"1128",5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,"3"
"1129",7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,"5"
"1130",6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,"4"
"1131",6.9,0.23,0.34,4,0.047,24,128,0.9944,3.2,0.52,9.7,"4"
"1132",6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,"3"
"1133",8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,"3"
"1134",7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,"3"
"1135",6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,"4"
"1136",6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,"6"
"1137",6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,"6"
"1138",9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,"3"
"1139",9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,"3"
"1140",8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,"4"
"1141",9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,"3"
"1142",9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,"3"
"1143",7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,"3"
"1144",7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,"3"
"1145",6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,"3"
"1146",9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,"3"
"1147",8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,"3"
"1148",7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,"4"
"1149",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,"3"
"1150",6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,"3"
"1151",6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,"3"
"1152",6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,"2"
"1153",5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,"4"
"1154",7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,"2"
"1155",7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,"2"
"1156",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,"4"
"1157",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,"4"
"1158",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,"4"
"1159",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,"4"
"1160",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,"4"
"1161",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,"4"
"1162",6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,"5"
"1163",5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,"4"
"1164",8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,"4"
"1165",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,"3"
"1166",6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,"3"
"1167",7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,"4"
"1168",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,"3"
"1169",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,"4"
"1170",7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,"4"
"1171",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,"3"
"1172",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,"4"
"1173",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,"3"
"1174",7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,"4"
"1175",6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,"3"
"1176",6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,"5"
"1177",6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,"4"
"1178",9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,"3"
"1179",7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,"3"
"1180",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,"3"
"1181",7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,"4"
"1182",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,"3"
"1183",6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,"4"
"1184",7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,"5"
"1185",6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,"3"
"1186",7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,"3"
"1187",6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,"6"
"1188",7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,"4"
"1189",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,"3"
"1190",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,"4"
"1191",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,"5"
"1192",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,"4"
"1193",7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,"5"
"1194",6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,"4"
"1195",7.9,0.22,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,"4"
"1196",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,"5"
"1197",7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,"5"
"1198",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,"4"
"1199",7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,"5"
"1200",6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,"4"
"1201",7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,"5"
"1202",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,"3"
"1203",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,"4"
"1204",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,"4"
"1205",8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,"3"
"1206",7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,"4"
"1207",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,"3"
"1208",6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,"4"
"1209",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,"4"
"1210",9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,"4"
"1211",7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,"3"
"1212",7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,"4"
"1213",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,"4"
"1214",9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,"4"
"1215",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,"3"
"1216",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,"6"
"1217",8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,"3"
"1218",7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,"6"
"1219",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,"6"
"1220",6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,"4"
"1221",5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,"5"
"1222",7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,"4"
"1223",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,"3"
"1224",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,"5"
"1225",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,"4"
"1226",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,"5"
"1227",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,"3"
"1228",9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,"4"
"1229",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,"1"
"1230",7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,"4"
"1231",7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,"5"
"1232",7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,"5"
"1233",7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,"4"
"1234",7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,"4"
"1235",7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,"3"
"1236",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,"4"
"1237",7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,"3"
"1238",7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,"5"
"1239",10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,"3"
"1240",7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,"4"
"1241",7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,"5"
